Year,Week,Member State,Feed Price (€/Tonne),Category,Cattle Price
2021,3,Ireland,197.0,Steers,371.07
2021,3,France,216.08,Steers,367.0
2021,3,Ireland,197.0,Steers,366.51
2021,3,France,216.08,Steers,354.0
2021,3,France,216.08,Steers,307.0
2021,3,France,216.08,Steers,235.0
2021,3,France,216.08,Steers,230.0
2021,3,Ireland,197.0,Young cattle,348.41
2021,3,Ireland,197.0,Cows,276.99
2021,3,Ireland,197.0,Bulls,289.54
2021,3,France,216.08,Bulls,302.0
2021,3,Ireland,197.0,Young cattle,357.39
2021,3,France,216.08,Cows,394.0
2021,3,France,216.08,Cows,363.0
2021,3,Ireland,197.0,Steers,388.66
2021,3,France,216.08,Young bulls,320.0
2021,3,France,216.08,Young bulls,324.0
2021,3,Ireland,197.0,Young bulls,350.57
2021,3,Ireland,197.0,Young bulls,350.87
2021,3,Ireland,197.0,Young bulls,361.55
2021,3,Ireland,197.0,Young bulls,363.04
2021,3,France,216.08,Cows,254.0
2021,3,France,216.08,Young bulls,382.0
2021,3,Ireland,197.0,Heifers,397.92
2021,3,France,216.08,Heifers,314.0
2021,3,Ireland,197.0,Heifers,361.8
2021,3,France,216.08,Heifers,375.0
2021,3,France,216.08,Heifers,453.0
2021,3,France,216.08,Heifers,456.0
2021,3,Ireland,197.0,Heifers,375.52
2021,3,Ireland,197.0,Heifers,375.82
2021,3,Ireland,197.0,Heifers,381.26
2021,3,Ireland,197.0,Heifers,387.07
2021,3,Ireland,197.0,Heifers,388.1
2021,3,France,216.08,Heifers,395.0
2021,3,France,216.08,Heifers,318.0
2021,3,Ireland,197.0,Heifers,398.16
2021,3,Ireland,197.0,Heifers,400.76
2021,3,France,216.08,Heifers,406.0
2021,3,France,216.08,Heifers,320.0
2021,4,Ireland,212.0,Steers,382.84
2021,4,Ireland,212.0,Cows,325.67
2021,4,Ireland,212.0,Young bulls,363.64
2021,4,Ireland,212.0,Young bulls,352.17
2021,4,France,226.83,Cows,324.0
2021,4,Ireland,212.0,Cows,304.54
2021,4,Ireland,212.0,Cows,304.44
2021,4,France,226.83,Cows,302.0
2021,4,Ireland,212.0,Cows,301.43
2021,4,Ireland,212.0,Cows,293.75
2021,4,France,226.83,Cows,292.0
2021,4,Ireland,212.0,Cows,281.91
2021,4,France,226.83,Cows,254.0
2021,4,Ireland,212.0,Young bulls,351.47
2021,4,France,226.83,Young bulls,324.0
2021,4,France,226.83,Young bulls,319.0
2021,4,Ireland,212.0,Cows,327.75
2021,4,France,226.83,Cows,366.0
2021,4,France,226.83,Cows,393.0
2021,4,Ireland,212.0,Young cattle,344.78
2021,4,Ireland,212.0,Steers,383.87
2021,4,France,226.83,Steers,385.0
2021,4,Ireland,212.0,Steers,392.12
2021,4,Ireland,212.0,Steers,392.24
2021,4,Ireland,212.0,Steers,392.57
2021,4,Ireland,212.0,Heifers,396.32
2021,4,France,226.83,Steers,307.0
2021,4,Ireland,212.0,Steers,372.97
2021,4,Ireland,212.0,Steers,368.94
2021,4,France,226.83,Young bulls,401.0
2021,4,France,226.83,Young bulls,383.0
2021,4,Ireland,212.0,Young bulls,377.76
2021,4,Ireland,212.0,Young bulls,374.87
2021,4,France,226.83,Young bulls,371.0
2021,4,France,226.83,Young bulls,366.0
2021,4,Ireland,212.0,Young bulls,363.95
2021,4,France,226.83,Steers,365.0
2021,4,Ireland,212.0,Heifers,389.23
2021,4,France,226.83,Cows,279.0
2021,4,France,226.83,Heifers,312.0
2021,4,Ireland,212.0,Young cattle,385.71
2021,4,France,226.83,Steers,210.0
2021,4,France,226.83,Calves slaughtered <8M,591.0
2021,4,France,226.83,Heifers,454.0
2021,4,France,226.83,Heifers,408.0
2021,4,Ireland,212.0,Heifers,400.57
2021,4,France,226.83,Heifers,399.0
2021,4,Ireland,212.0,Heifers,398.92
2021,4,Ireland,212.0,Bulls,292.06
2021,4,Ireland,212.0,Young cattle,379.03
2021,4,France,226.83,Bulls,297.0
2021,4,Ireland,212.0,Heifers,389.1
2021,4,Ireland,212.0,Heifers,381.9
2021,4,France,226.83,Heifers,377.0
2021,4,Ireland,212.0,Heifers,376.81
2021,4,Ireland,212.0,Heifers,376.53
2021,4,Ireland,212.0,Heifers,359.1
2021,4,France,226.83,Heifers,320.0
2021,4,France,226.83,Heifers,458.0
2021,5,France,212.01,Heifers,320.0
2021,5,Ireland,214.0,Heifers,355.33
2021,5,France,212.01,Heifers,303.0
2021,5,France,212.01,Heifers,313.0
2021,5,France,212.01,Bulls,300.0
2021,5,France,212.01,Heifers,460.0
2021,5,France,212.01,Calves slaughtered <8M,589.0
2021,5,France,212.01,Young bulls,402.0
2021,5,France,212.01,Young bulls,383.0
2021,5,Ireland,214.0,Young bulls,376.84
2021,5,Ireland,214.0,Young bulls,373.95
2021,5,France,212.01,Young bulls,372.0
2021,5,France,212.01,Young bulls,366.0
2021,5,Ireland,214.0,Young bulls,362.88
2021,5,Ireland,214.0,Young bulls,362.6
2021,5,Ireland,214.0,Young bulls,349.99
2021,5,Ireland,214.0,Young bulls,348.41
2021,5,France,212.01,Young bulls,325.0
2021,5,France,212.01,Young bulls,318.0
2021,5,Ireland,214.0,Bulls,300.93
2021,5,France,212.01,Heifers,458.0
2021,5,Ireland,214.0,Heifers,373.92
2021,5,Ireland,214.0,Heifers,400.71
2021,5,Ireland,214.0,Heifers,388.14
2021,5,Ireland,214.0,Heifers,387.41
2021,5,France,212.01,Heifers,383.0
2021,5,Ireland,214.0,Heifers,382.72
2021,5,Ireland,214.0,Heifers,375.43
2021,5,France,212.01,Cows,397.0
2021,5,France,212.01,Cows,369.0
2021,5,Ireland,214.0,Cows,324.23
2021,5,Ireland,214.0,Cows,323.01
2021,5,France,212.01,Cows,322.0
2021,5,Ireland,214.0,Cows,303.43
2021,5,Ireland,214.0,Cows,303.31
2021,5,France,212.01,Cows,303.0
2021,5,Ireland,214.0,Cows,298.86
2021,5,Ireland,214.0,Cows,290.26
2021,5,France,212.01,Cows,279.0
2021,5,Ireland,214.0,Cows,273.43
2021,5,France,212.01,Cows,273.0
2021,5,France,212.01,Cows,254.0
2021,5,France,212.01,Heifers,408.0
2021,5,Ireland,214.0,Heifers,398.3
2021,5,France,212.01,Heifers,394.0
2021,5,Ireland,214.0,Steers,393.31
2021,5,Ireland,214.0,Heifers,400.02
2021,5,France,212.01,Steers,283.0
2021,5,France,212.01,Steers,312.0
2021,5,Ireland,214.0,Steers,366.88
2021,5,Ireland,214.0,Steers,369.33
2021,5,France,212.01,Steers,378.0
2021,5,Ireland,214.0,Steers,382.42
2021,5,Ireland,214.0,Steers,383.06
2021,5,Ireland,214.0,Young cattle,368.8
2021,5,France,212.01,Steers,434.0
2021,5,Ireland,214.0,Young cattle,375.05
2021,5,Ireland,214.0,Steers,389.07
2021,5,Ireland,214.0,Steers,392.51
2021,6,Ireland,212.0,Young bulls,342.95
2021,6,France,212.01,Young bulls,319.0
2021,6,Ireland,212.0,Young bulls,343.91
2021,6,Ireland,212.0,Young bulls,357.26
2021,6,Ireland,212.0,Young bulls,368.66
2021,6,Ireland,212.0,Young bulls,357.58
2021,6,Ireland,212.0,Bulls,299.94
2021,6,France,212.01,Bulls,301.0
2021,6,France,212.01,Young bulls,368.0
2021,6,France,212.01,Young bulls,326.0
2021,6,Ireland,212.0,Young bulls,369.42
2021,6,Ireland,212.0,Heifers,382.23
2021,6,France,212.01,Young bulls,384.0
2021,6,France,212.01,Cows,324.0
2021,6,Ireland,212.0,Cows,317.25
2021,6,Ireland,212.0,Cows,314.05
2021,6,France,212.01,Cows,303.0
2021,6,France,212.01,Young bulls,374.0
2021,6,Ireland,212.0,Cows,295.21
2021,6,Ireland,212.0,Cows,290.67
2021,6,Ireland,212.0,Cows,281.98
2021,6,France,212.01,Cows,281.0
2021,6,France,212.01,Cows,280.0
2021,6,Ireland,212.0,Cows,264.22
2021,6,France,212.01,Cows,368.0
2021,6,France,212.01,Cows,256.0
2021,6,Ireland,212.0,Steers,387.23
2021,6,Ireland,212.0,Steers,385.43
2021,6,Ireland,212.0,Steers,384.67
2021,6,Ireland,212.0,Steers,379.01
2021,6,Ireland,212.0,Steers,378.26
2021,6,France,212.01,Steers,373.0
2021,6,Ireland,212.0,Steers,365.2
2021,6,Ireland,212.0,Steers,362.93
2021,6,France,212.01,Steers,314.0
2021,6,France,212.01,Steers,272.0
2021,6,France,212.01,Calves slaughtered <8M,587.0
2021,6,France,212.01,Steers,395.0
2021,6,France,212.01,Cows,396.0
2021,6,Ireland,212.0,Cows,296.35
2021,6,Ireland,212.0,Young cattle,379.95
2021,6,France,212.01,Young bulls,404.0
2021,6,France,212.01,Heifers,457.0
2021,6,France,212.01,Heifers,456.0
2021,6,France,212.01,Heifers,407.0
2021,6,Ireland,212.0,Heifers,396.77
2021,6,Ireland,212.0,Young cattle,388.73
2021,6,Ireland,212.0,Heifers,394.83
2021,6,France,212.01,Heifers,386.0
2021,6,Ireland,212.0,Heifers,382.49
2021,6,France,212.01,Heifers,382.0
